param d: 	 1 	 2 := 
1 	 1 	 4.18 
2 	 1 	 11.29 
3 	 1 	 4.80 
4 	 1 	 7.83 
5 	 1 	 8.20 
6 	 1 	 5.89 
7 	 1 	 6.44 
8 	 1 	 5.38 
9 	 1 	 7.95 
10 	 1 	 5.37 
11 	 1 	 1.39 
12 	 1 	 8.20 
13 	 1 	 0.80 
14 	 1 	 4.52 
15 	 1 	 3.01 
16 	 1 	 8.51 
17 	 1 	 5.55 
18 	 1 	 11.03 
19 	 1 	 7.16 
20 	 1 	 2.61 
21 	 1 	 5.02 
22 	 1 	 1.35 
23 	 1 	 7.32 
24 	 1 	 5.13 
25 	 1 	 5.61 
26 	 1 	 3.95 
27 	 1 	 5.06 
28 	 1 	 10.47 
29 	 1 	 8.54 
30 	 1 	 3.32 
31 	 1 	 5.90 
32 	 1 	 4.44 
33 	 1 	 9.88 
34 	 1 	 7.33 
35 	 1 	 6.52 
36 	 1 	 11.77 
37 	 1 	 5.81 
38 	 1 	 8.45 
39 	 1 	 10.94 
40 	 1 	 10.46 
41 	 1 	 1.69 
42 	 1 	 5.36 
43 	 1 	 4.83 
44 	 1 	 6.45 
45 	 1 	 7.07 
46 	 1 	 3.01 
47 	 1 	 8.55 
48 	 1 	 7.04 
49 	 1 	 3.46 
50 	 1 	 7.26 
51 	 1 	 4.39 
52 	 1 	 2.63 
53 	 1 	 6.06 
54 	 1 	 10.07 
55 	 1 	 7.57 
56 	 1 	 10.18 
57 	 1 	 4.95 
58 	 1 	 5.18 
59 	 1 	 5.49 
60 	 1 	 4.56 
61 	 1 	 3.96 
62 	 1 	 9.19 
63 	 1 	 4.23 
64 	 1 	 2.21 
65 	 1 	 6.37 
66 	 1 	 9.98 
67 	 1 	 9.73 
68 	 1 	 4.04 
69 	 1 	 5.81 
70 	 1 	 8.12 
71 	 1 	 10.32 
72 	 1 	 7.75 
73 	 1 	 4.11 
74 	 1 	 12.53 
75 	 1 	 8.31 
76 	 1 	 10.25 
77 	 1 	 12.00 
78 	 1 	 8.96 
79 	 1 	 6.14 
80 	 1 	 10.02 
81 	 1 	 9.30 
82 	 1 	 7.12 
83 	 1 	 8.25 
84 	 1 	 4.98 
85 	 1 	 8.12 
86 	 1 	 10.83 
87 	 1 	 7.23 
88 	 1 	 11.22 
89 	 1 	 8.31 
90 	 1 	 9.67 
91 	 1 	 7.89 
92 	 1 	 10.39 
93 	 1 	 2.09 
94 	 1 	 6.31 
95 	 1 	 9.31 
96 	 1 	 9.07 
97 	 1 	 11.83 
98 	 1 	 9.87 
99 	 1 	 13.89 
100 	 1 	 6.86 
101 	 1 	 10.68 
102 	 1 	 10.06 
103 	 1 	 1.20 
104 	 1 	 5.64 
